part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,Tuer (Harz,Tuer (resin,#NAME?,#NAME?,,
,,,,Bremssattel vorn rechts,Brake caliper front right,Im Abgabemonat,In the turnoveronate,,
,,,,Blende unter Scheibenwischer,Aperture under windscreen wiper,Sehr staubig und Fleckig,Very dusty and blotchy,,
,,,,Heckklappe (verkratzt. oberhalb Kennzeichen,Tailgate (scratched. Above license plates,Kniestueck,Knee,,
,,,,Schweller (vorne,Sills (front,1 Tag,1 day,,
,,,,Stossfaenger hinten (gestaucht,Shock Fenger rear (compressed,Batterie leer,battery empty,,
,,,,Stossfaenger vorn (gerissen,Shockfaenger front (torn,Tragbild der Bremsscheiben,Load image of the brake discs,,
,,,,Reifensatz komplett (Keine Run,Tire set complete (no run,Einstiegsleiste,Sill,,
,,,,Dachreling,Roofing,abgelaufen 10.2019,Expired 10.2019,,
,,,,Parkbremse / Feststellbremse,Parking brake / parking brake,Tuer vorne links,Tower front left,,
,,,,Motor (Start,Motor (start,rechts unten,bottom right,,
,,,,Lehne links,Lehne left,seit 07/19.,since 07/19.,,
,,,,Lehnpolster links,Lehnpusher left,Schleifen/Polieren. Folgekosten moeglich.,Grinding / polishing. Subsequent costs possible.,,
,,,,Reifen vorn links (Kein Mobilitaets,Tire front left (no mobilitete,Aluleiste,Aline,,
,,,,Reifen vorn rechts (Kein Mobilitaets,Tire on the front right (no mobilitete,Tragbild schlecht.,Load picture bad.,,
,,,,Inspektion/Wartung (OEl,Inspection / Maintenance (Oil,Standschaden,Stand damage,,
,,,,Luftfiltergehaeuse,Air filter housing,auslegen und polieren,Lay out and polish,,
,,,,Inspektion/Wartung (seit 3 Tagen,Inspection / Maintenance (for 3 days,10/19/22,10/19/22,,
,,,,Heckleuchte links (Brems,Tail light left (brake,Randbildung. Auf Mindestmaß pruefen,Rimging. At the minimum,,
,,,,Sicherheitsgurt vorn Mitte,Safety belt front center,205/55 R 16 94 V,205/55 R 16 94 V,,
,,,,Frontscheibe getoent,Windscreen Getoent,Halterung fuer doppelten Laderaumboden,Bracket for double loader floor,,
,,,,Kraftstoffanlage,Fuel system,groeßer 2 cm,Großer 2 cm,,
,,,,Staufach Mitte,Staufach Mitte,Winterreifen statt Ganzjahresreifen,Winter tires instead of all-season tires,,
,,,,Anschlaggummi,Stroke rubber,mit Rißbildung,with cracking,,
,,,,Sitzheizung rechts,Seat heater right,Unter 4mm Profilstaerke,Under 4mm profile store,,
,,,,Tuerverkleidung vorn links (Verkleidung fuer Fensterheber,Tapercover front left (panel for windows,08/2019,08/2019,,
,,,,Felge hinten links,Rim rear left,Spoiler unterhalb,Spoiler below,,
,,,,Sitzpolster rechts,Seat pad on the right,Ganzjahresreifen,All-season tires,,
,,,,Tuer (Tuer einstellen,Tu (adjust door,Vorbehaltlich,Subject to,,
,,,,Leuchtweitenregulierung links,Lamp width regulation on the left,Reflektor,reflector,,
,,,,Dachholm rechts (Kratzer,Dachholm right (scratches,Kostenerweiterung moeglich,Cost extension possible,,
,,,,Heckklappe (mittig,Tailgate (center,In 12 Tagen,In 12 days,,
,,,,Motorverkleidung unten vorn,Engine trim at the front,Rillenbildung,Groove,,
,,,,Verkl. Hecktuer Sperrholz Mitte,Ease. Hecktuer plywood middle,Oelfeucht,Oiletic,,
,,,,Verkleidung Sperrholz Mitte,Cladding plywood middle,kein Nachweis nach Herstellervorgaben,No proof according to manufacturer's specifications,,
,,,,Spoiler (vorn rechts,Spoiler (front right,Satz 2 Radsatz,Set 2 wheelset,,
,,,,Radnabe rechts,Wheel hub right,inkl. Auslegen u. Polieren,incl. Exposure u. polish,,
,,,,Eckbeplankung rechts,Corner planking right,Anderer Reifen,Other tire,,
,,,,"Hauptuntersuchung (Fzg. bereits abg.,Kein Stempel im Schein,Kein HU","Main investigation (Fzg already exhaust, no stamp in appearance, no HU",LED,LED,,
,,,,Schweller Mitte,Sills center,Stossfaenger vorne links,Shock Fenger front left,,
,,,,2 Reifen (gehoert nicht zur Fzg.,2 tires (does not belong to the FZG.,Stossfaenger vorne unten,Shock Fenger front down,,
,,,,Stoßdaempfer,Shock absorber,Dachrehlingabdeckung,Rooftop cover,,
,,,,"Heckklappe (Zinkplatzer, verkratzt, beklebt . unterhalb","Tailgate (zinc places, scratched, glued. Below",Delle sanft instandsetzen,Delle gently repair,,
,,,,Staufach,Stanchion,Fahrersichtfeld,Driver's vision field,,
,,,,Seitenwand (Dellen. unterhalb,Sidewall (Dellen. Below,Nachweis fehlt,Proof is missing,,
,,,,Tirefit komplett,Tirefit complete,Erfolgloser Reparaturversuch,Unsuccessful repair attempt,,
,,,,Gurtschloss links,Curtle left,In Waschanlage nicht sauber geworden,Not clean in a car wash,,
,,,,Blinkleuchte vorn rechts,Indicator front right,laesst sich nicht oeffnen,can not be opened,,
,,,,Hecktuer links verglast,Hecktuer links glazed,und Dachholm,and umbrella,,
,,,,Wagenheberaufnahme vorn,Jack recording front,Inspektion nicht pruefbar alle 20000km,Inspection not checkable all 20000km,,
,,,,Blende unter Frontklappe,Aperture under front flap,Nicht im Bestandteil der Auslieferung,Not in part of the delivery,,
,,,,Verkl. Hecktuer Sperrholz oben,Ease. Hecktuer plywood up,links und rechts,left and right,,
,,,,Bremsschlauch vorn links,Brake hose front left,Nicht Bestandteil des Leasing,Not part of leasing,,
,,,,Verschleißsensoren,Wear sensors,rechte Seite,right side,,
,,,,Schloss / Verriegelung (Fangband,Castle / locking (fishing ribbon,Und Steinschlag,And rockfall,,
,,,,Laufwagen unten,Lead carriage down,Wellig,Wavy,,
,,,,Inspektion/Wartung (OElwechselservice,Inspection / Maintenance (Oil change service,Farbunterschied,Color difference,,
,,,,Inspektion/Wartung (Inspektionsservice,Inspection / Maintenance (Inspection Service,Hartplastik,Hard plastic,,
,,,,Stossfaenger hinten (Einparksensoren links + rechts,Stoss Fenger rear (parking sensors left + right,Innenverkleidung,interior panelling,,
,,,,Verschluss,Clasp,Lackeinschluesse/ Orangenhaut,Paint influence / orange skin,,
,,,,"Heckklappe (Zinkplatzer, verkratzt. Unterhalb","Tailgate (zinc places, scratched below",Klarlack fehlt,Clear paint is missing,,
,,,,Dachluke / Schiebedach elektrisch,Roof guys / sunroof electric,Lueftungsgitter,Litter,,
,,,,Bodenbelag hinten rechts,Flooring rear right,Lueftunggitter,Lung,,
,,,,Dachverkleidung Mitte,Roof cladding center,Winter kein Bestandteil der Ausstattung,Winter no part of the equipment,,
,,,,Scharnier unten,Hinge down,"Armauflage, Druckstellen durch Reifentransport","Armrest, pressure points by tire transport",,
,,,,Karosserie (X makierte Karosserie,Body (X-made body,Welliges bild,Wavy picture,,
,,,,Gepaecknetz,Luggage network,Ladekante beilackieren,Lighting edge,,
,,,,Reifensatz komplett (Falscher Last,Tire set complete (wrong load,Ganzjahresreifen unter 4mm,All-season tires under 4mm,,
,,,,Karosserie (laut Gutachten,Body (according to reports,Diverse,Various,,
,,,,Karosserie (Beklebungs,Body (coupling,Gepaeckspinnenset,Lid,,
,,,,Stahlfelgensatz komplett,Steel cable set complete,Schleifen und Polieren,Grinding and polishing,,
,,,,Sonstiges (Abschlußblech hinten links unten (C,Miscellaneous (closing plate rear left below (C,Rissbildung durch,Cracking through,,
,,,,Differential,differential,Kofferraum brett Haltegriff,Trunk board grab handle,,
,,,,Einstieg (Blende,Entry (aperture,Variabler Boden,Variable ground,,
,,,,Frontmodul,Front module,Im sichtfeld,In the field of view,,
,,,,None,None,"Delle druecken, Steinschlag auslegen/ polieren","Press the delle, legs outline / polish",,
,,,,Stossfaenger vorn (sowie PDC,Shock Fenger (and PDC,Kontrolleuchte brennt,Control lamp burns,,
,,,,,#VALUE!,Abdeckung Abschleppoese,Cover tow,,
,,,,,,Fest,Fixed,,
,,,,,,Verschmutzt,Dirty,,
,,,,,,Einstieg vorne links,Enter front left,,
,,,,,,Mischbereifung,Mixing tires,,
,,,,,,SR statt WR,SR instead of WR,,
,,,,,,Vogelkot/vorbehaltlich Folgekosten,Birdcot / Subject to follow-up costs,,
,,,,,,Unterhalb/mittig,Underneath / center,,
,,,,,,Vorbehaltlich Folgekosten,Subject to follow-up costs,,
,,,,,,Leicht verkratzt,Slightly scratched,,
,,,,,,"Klarlackkante sichtbar, ausgerissen","Clearcoat edge visible, torn",,
,,,,,,"Welliger Untergrund, klarlackkante gerissen","Wavy substrate, clear coat edge torn",,
,,,,,,"Schleifspuren, Lackstruktur poroes","Grinding tracks, paint structure POROES",,
,,,,,,Griff klappt nicht hoch,Handle does not work up,,
,,,,,,Keine Sommerreifen montiert,No summer tires mounted,,
,,,,,,Farbrueckstaende vorhanden,Farbrueckstänten available,,
,,,,,,Tuer HL,Tu,,
,,,,,,Tuer VL,Vl,,
,,,,,,Ablagefach,Shelf,,
,,,,,,Stoßstange vorne/ vorbehaltlich Folgekosten,Bumper front / subject to subsequent costs,,
,,,,,,Staubeinschluesse/Flaeche unterhalb der kante wellig,Dust inclusion / area below the edge wavy,,
,,,,,,Plastikverkleidung außen,Plastic cladding outside,,
,,,,,,4×Einstieg/vorbehaltlich Folgekosten,4 × entry / subject to follow-up costs,,
,,,,,,Plastikblende außen,Plastic panel outside,,
,,,,,,Staubeinschluesse/Vorbehaltlich Folgekosten,Dust inclusion / Subject to follow-up costs,,
,,,,,,Vorne links,Front left,,
,,,,,,Naesse rechts vorne innen,Nazi right in front,,
,,,,,,Plastikverkleidung außen/vorbehaltlich Folgekosten,Plastic cover outside / subject to follow-up costs,,
,,,,,,Leichte Verformung,Easy deformation,,
,,,,,,Fensterrahmen,Window frame,,
,,,,,,Dreiecksscheibe,Triangular window,,
,,,,,,Inkl. Ladekante verformt,Including loading edge deformed,,
,,,,,,Sommerreifen liegen im Fahrzeug,Summer tires are in the vehicle,,
,,,,,,Winter statt Sommer,Winter instead of summer,,
,,,,,,Stoßstange vorne/unten,Front bumper / bottom,,
,,,,,,Lacknebel,Lacquer,,
,,,,,,"Lackmangel, Lackstruktur","Paint deficiency, paint structure",,
,,,,,,"Lackstruktur, welliger Untergrund","Paint structure, wavy underground",,
,,,,,,Fahrerseite,driver's side,,
,,,,,,Mit Edding uebermalt/vorbehaltlich Folgekosten,Aspirated with edding / subject to follow-up costs,,
,,,,,,Sommerreifensatz,Summer tire set,,
,,,,,,Inkl. verformt,Incl. Deformed,,
,,,,,,Fahrersitz Fuehrungsschiene Plastikverkleidung,Driver's seat Führungsbeschiene plastic trim,,
,,,,,,Fahrersitz Rueckseite,Driver's seat back,,
,,,,,,Nicht ausgeblendet + Silikoneinschluesse,Not hidden + silicone inclusion,,
,,,,,,Schleifriefen + nicht ausgeblendet,Sleeps + not hidden,,
,,,,,,Narbig + Silikoneinschluesse,Narby + silicone inclusion,,
,,,,,,Abdeckung beschaedigt erneuern,Cover Replace,,
,,,,,,Tuerscharnier lose,Tuerbarnier loose,,
,,,,,,Blende unter NSW re.,Hide under NSW RE.,,
,,,,,,rechts und links,right and left,,
,,,,,,Rechte Seite,right side,,
,,,,,,Basislack beschaedigt; Beginnend Korrosion,Basic paint damaged; Starting corrosion,,
,,,,,,07/20/22,07/20/22,,
,,,,,,Heckbereich.,Tail area.,,
,,,,,,Abplatzung.,Splendation.,,
,,,,,,Randbereich,Edge area,,
,,,,,,10/20/22,10/20/22,,
,,,,,,1 Schluesselbart fehlt,1 keybard is missing,,
,,,,,,Faehrt nicht automatisch wieder hoch.,Do not automatically rebuilt.,,
,,,,,,04/20/22,04/20/22,,
,,,,,,"manuell schwenkbare, vorbehaltlich Folgekosten","manually swivelable, subject to follow-up costs",,
,,,,,,an der Kante,at the edge,,
,,,,,,Vorn rechts,Front right,,
,,,,,,Vorn links,Front left,,
,,,,,,Hinten links,Back left,,
,,,,,,Chromleiste,Chrome bar,,
,,,,,,Maderabwehr,Mader defense,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#NAME?,#NAME?,,
,,,,,,matt,frosted,,
,,,,,,A Saeule Links,A Saeube left,,
,,,,,,Schleifen,grind,,
,,,,,,Im Sichtfeld,In the field of view,,
,,,,,,> 5 Stueck auf 10x10cm,> 5 pieces to 10x10cm,,
,,,,,,Gepaeckraummanagement,Luggage room management,,
,,,,,,Kunststoffblende,Plastic cover,,
,,,,,,"Veraetzungen, Steinschlag","Assumes, rockfall",,
,,,,,,VR; Dichtung,VR; poetry,,
,,,,,,4 Stueck,4 pieces,,
,,,,,,Unter 4mm,Under 4mm,,
,,,,,,Veraetzung,Obscure,,
,,,,,,3 Stueck,3 pieces,,
,,,,,,Sitzbezuege,Sitting,,
,,,,,,Lackeinschluesse,Paint influence,,
,,,,,,Hagelschaden,Hail damage,,
,,,,,,Sichtfeld,Field of view,,
,,,,,,"Farbe, Kostenerweiterung moeglich","Color, cost expansion possible",,
,,,,,,Harzfleck,Resin,,
,,,,,,Innenseitig und aussenseitig abgelaufen,Outer and outlet expired,,
,,,,,,Fenster,window,,
,,,,,,Schlechtes Tragbild,Bad wearing picture,,
,,,,,,Halterungen gerissen,Brackets torn,,
,,,,,,auslegen/polieren,Lay out / polish,,
,,,,,,3.2018,3.2018,,
,,,,,,#NAME?,#NAME?,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Harzreste,Resin,,
,,,,,,Auslegen u. Polieren,Lay out u. Polish,,
,,,,,,Seit 11/2018.,Since 11/2018.,,
,,,,,,Seit 04/2020,Since 04/2020,,
,,,,,,Seit 04/2020.,Since 04/2020.,,
,,,,,,Und Steinschlaege.,And stone slides.,,
,,,,,,Verfalldatum,expiration date,,
,,,,,,2 Stk.,2 pieces.,,
,,,,,,3 Stk.,3 pcs.,,
,,,,,,Hoher Materialabtrag,High material removal,,
,,,,,,Chromblende mitte Stoßfaenger vorne,Chrome panel center shock fenger front,,
,,,,,,Durch Steinschlag / Kante vorne,By rockfall / edge front,,
,,,,,,Schleifspuren,Grinding tracks,,
,,,,,,Scheiben lose,Slices of loose,,
,,,,,,Werkstattausruestung,Workshop fruit,,
,,,,,,Ungleich abgefahren,Uneven,,
,,,,,,Griffklappe,Handle,,
,,,,,,Innen und außen,Inside and outside,,
,,,,,,Ca. 3,About 3,,
,,,,,,Schoner + rechts,Schooner + right,,
,,,,,,Außenkanten Reifen abgefahren,Outdoor canted tires,,
,,,,,,10x,10x,,
,,,,,,Starke verformung HR.,Strong deformation Hr.,,
,,,,,,Toenungsfolie verkratzt,Scratched tooth foil,,
,,,,,,Fahrzeug Aubau,Vehicle Aubau,,
,,,,,,Sitzbezuege / Heckbereich,Seat coverage / rear area,,
,,,,,,Toenung beschaedigt,Touh,,
,,,,,,schleifpolieren,grind,,
,,,,,,"Korrosionsantrag, Anaetzungen","Corrosion application, analysis",,
,,,,,,Marderabwehranlage,Marten repellent,,
,,,,,,Blinkleuchte Rechts,Flash light right,,
,,,,,,Heckleuchte innen Rechts,Tail light inside right,,
,,,,,,10.2019,10.2019,,
,,,,,,und polieren,and polishing,,
,,,,,,Inkl. OElwechsel,Incl. Oil change,,
,,,,,,2 Radsatz,2 wheelset,,
,,,,,,Starker Materialabrieb,Strong material abrasion,,
,,,,,,Bremslicht / Ruecklicht Rechts,Brake light / subscription light right,,
,,,,,,AdBlue Reichweite 1000 km,AdBlue Range 1000 km,,
,,,,,,Erheblicher Materialabtrag Winterbereifung,Significant material removal Winter tires,,
,,,,,,Deckel recht,Lid right,,
,,,,,,"Werkstattpruefung erforderlich, Mehrkosten moeglich","Workshop monitoring required, additional costs possible",,
,,,,,,Sommer,summer,,
,,,,,,starker Abrieb,strong abrasion,,
,,,,,,Vogelkotrueckstaende.Schleifen/Polieren.Folgekosten moeglich,Vogelkotrueckstände. Grinding / Polishing. Expenses possible,,
,,,,,,Keine XL Reifen montiert,No XL tires mounted,,
,,,,,,"Orangenh.,Staubeinschl.Schleifen/Polieren.Folgekosten moegli","Orangenh., Dust Closing / Polishing. Expenses Moegli",,
,,,,,,#NAME?,#NAME?,,
,,,,,,Unterer Teil,Lower part,,
,,,,,,& Lackmangel.,Lack deficiency.,,
,,,,,,undicht.,leaky.,,
,,,,,,"Sitzbezug Hinten, Verkleidung Heckklappe","Seat cover rear, fairing tailgate",,
,,,,,,Stossfaenger vorn mitte,Stoss Fenger front center,,
,,,,,,Korrosion und verschlissen,Corrosion and worn,,
,,,,,,Korrosion und Scheibe verschlissen,Corrosion and disk worn,,
,,,,,,seit 09/19.,since 09/19.,,
,,,,,,Sommerreifen. Riss & Ausbrueche Aussenflanke,Summer tires. Ripped & Outside Flank,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Keine Polymerbeschichtung + Falscher Geschwindigkeitindex,No polymer coating + false speed index,,
,,,,,,Materialabtragung mehr als 1 mm,Material removal more than 1 mm,,
,,,,,,11.2019,11.2019,,
,,,,,,Platten,plates,,
,,,,,,"Staubeinschluesse, Starke Verschmutzungenin der Lackierung","Dust inclusion, heavy soiling in the paint",,
,,,,,,Abdeckung fehlt,Cover is missing,,
,,,,,,Stopfen,Plug,,
,,,,,,Eingebrannter Vogelkot,Broken bird fool,,
,,,,,,Oberflaeche wellig/vorbehaltlich Folgekosten,Oberfläeche wavy / subject to follow-up costs,,
,,,,,,Oberflaeche wellig/Vorbehaltlich Folgekosten,Oberfläeche wavy / subject to follow-up costs,,
,,,,,,Sommerreifen lose,Summer tires loose,,
,,,,,,Bei 30000km,At 30000km,,
,,,,,,Bei 60000km,At 60000km,,
,,,,,,vorbehaltlich Folgekosten,Subject to follow-up costs,,
,,,,,,Schweller/ vorbehaltlich Folgekosten,SCHWARER / Subject to follow-up costs,,
,,,,,,"Delle, Staubeinschluesse","Delle, dust inclusion",,
,,,,,,Deckel,lid,,
,,,,,,Evtl Quertraeger beschaedigt/vorbehaltlich Folgekosten,Evtl cross trainer charges / subject to follow-up costs,,
,,,,,,wolkig,cloudy,,
,,,,,,Oben links/vorbehaltlich Folgekosten,Top left / subject to subsequent costs,,
,,,,,,Li+Re WR anstelle SR,Li + Re WR instead of SR,,
,,,,,,Abblendlicht rechts,right dipped beam,,
,,,,,,VL,Vl,,
,,,,,,Haelt nicht in Stoßstangenhalter,Do not hates in bumper holder,,
,,,,,,Inkl. Tankdeckel,Incl. Tank cap,,
,,,,,,Außenkante glatt/vorbehaltlich Folgekosten,Outside edge smooth / subject to subsequent costs,,
,,,,,,1.inspektion bei 30000km/vorbehaltlich Folgekosten,1.Inspection at 30000km / Subject to follow-up costs,,
,,,,,,Inkl. Kratzer/Vorbehaltlich Folgekosten,Incl. Scratch / Subject to follow-up costs,,
,,,,,,"Mischbereifung hinten, WR statt Sommer","Mixed tires rear, WR instead of summer",,
,,,,,,"Lackmangel, poroes, Kratzer","Paint deficiency, Poroes, scratches",,
,,,,,,WR statt Sommer,WR instead of summer,,
,,,,,,Inkl. Steinschlaege & leichte verformung unten/mittig,Incl. Stone slides & lightweight deformation below / center,,
,,,,,,Faehrt nur halb auf/Vorbehaltlich Folgekosten,Only halfway up / subject to subsequent costs,,
,,,,,,Inkl. verkratzt/verschuerft,Incl. Scratched / shot,,
,,,,,,Inspektion bei 90000km,Inspection at 90000km,,
,,,,,,Plastikverkleidung,Plastic cladding,,
,,,,,,wellig,wavy,,
,,,,,,Feststellung links&rechts/vorbehaltlich Folgekosten,Determination Links & Legal / Subject to follow-up costs,,
,,,,,,Spoiler/vorbehaltlich Folgekosten,Spoiler / Subject to follow-up costs,,
,,,,,,Inkl. Delle/Vorbehaltlich Folgekosten,Incl. Delle / subject to follow-up costs,,
,,,,,,inkl. Zierleiste,including trim,,
,,,,,,Seit 18 Tagen/vorbehaltlich Folgekosten,For 18 days / subject to follow-up costs,,
,,,,,,In 23 Tagen,In 23 days,,
,,,,,,99V statt 103W,99V instead of 103W,,
,,,,,,inkl. Rissbildung/ vorbehaltlich Folgekosten,including cracking / subject to follow-up costs,,
,,,,,,Seit 9838km/vorbehaltlich Folgekosten,Since 9838km / subject to follow-up costs,,
,,,,,,Verkleidung hinten rechts/vorbehaltlich Folgekosten,Fairing rear right / subject to subsequent costs,,
,,,,,,205 60 R16 96W fehlen,205 60 R16 96W missing,,
,,,,,,"Veraetzung, Eingebrannt","Contribution, burned",,
,,,,,,Außenkante glatt /vorbehaltlich Folgekosten,Outside edge smooth / subject to subsequent costs,,
,,,,,,Inkl. Verformt,Incl. Deformed,,
,,,,,,Lackiert,Lacquered,,
,,,,,,Scheibe,disc,,
,,,,,,Oberhalb/ vorbehaltlich Folgekosten,Above / subject to follow-up costs,,
,,,,,,Seitenteil rechts,Side part right,,
,,,,,,Sperrholz Verkleidung Dachhimmel hinten 2teilig,Plywood paneling headliner back 2 parts,,
,,,,,,"Stahl i.O., reifen falsch wr statt Sommer","Steel I.O., mature false Wr instead of summer",,
,,,,,,"Kratzer, Korrosion","Scratch, corrosion",,
,,,,,,"Schließt nicht richtig, Scheibe verkratzt","Does not close properly, slice scratched",,
,,,,,,#NAME?,#NAME?,,
,,,,,,Oberhalb Kante,Above edge,,
,,,,,,Mehrere,Several,,
,,,,,,Lackstift,Lacquer,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Abdeckung ueber Chromleiste,Cover over chrome strip,,
,,,,,,Hinten links.,Back left.,,
,,,,,,Innenschulter.,Inner shoulder.,,
,,,,,,Und Kratzer.,And scratches.,,
,,,,,,Teilweise abgeschliffen,Partially cut off,,
,,,,,,Kundeneigentum,Customer owner,,
,,,,,,Mit falacher farbe ausgebesseer,With Falacher color more necessary,,
,,,,,,vorne,in front,,
,,,,,,UE 6 Jahre alt,Ue 6 years old,,
,,,,,,UE 6 jahre alt,Ue 6 years old,,
,,,,,,Ca 15 Stueck,About 15 pieces,,
,,,,,,1x Batterie leer,1x battery empty,,
,,,,,,08/20/22,08/20/22,,
,,,,,,Kleberueckstaende,Adhesive,,
,,,,,,"Scheiben eingelaufen, Belaege verschlissen","Displayed slices, wornbars worn",,
,,,,,,Unten,Below,,
,,,,,,Und gebrochen,And broken,,
,,,,,,Wassereintritt im Bereich Kofferraum,Water entrance in the range trunk,,
,,,,,,Tisch,table,,
,,,,,,3.Bauteile,3.Cons,,
,,,,,,Klappfunktion,Pad,,
,,,,,,Deckel Bremsfluessigkeitsbehaelter,Lid brake fluid container,,
,,,,,,10 stk,10 pcs,,
,,,,,,Fensterscheibe,Window,,
,,,,,,nicht Bestandteil der Auslieferung,Not part of the delivery,,
,,,,,,"Motorraum Marderschaden, Folgekosten moeglich","Engine compartment Martime damage, follow-up costs possible",,
,,,,,,Veraetzungen,Acid burns,,
,,,,,,Andersfarbig,Different-colored,,
,,,,,,Flecken,stains,,
,,,,,,Schleifspuren Kratzer,Grinding tracks scratches,,
,,,,,,Großflaechig verkratzt,Scratched large flair,,
,,,,,,Spiegel,mirror,,
,,,,,,Griff innen,Handle inside,,
,,,,,,inkl.Gehaeuse,incl.Haeuse,,
,,,,,,"Winterreifen montiert, muessen Sommerreifen sein","Winter tires mounted, must be summer tires",,
,,,,,,Nass,Wet,,
,,,,,,WR statt SR,WR instead of SR,,
,,,,,,zus. hinten links Druckverlust Platten !!,Zus. Rear left print loss plates !!,,
,,,,,,Sommer fehlt,Summer is missing,,
,,,,,,Und entkleben,And illuminate,,
,,,,,,"Lackdicke,Lackbild,Schleifspuren","Paint thickness, lacquer picture, grinding tracks",,
,,,,,,Lasche verformt,Tab deformed,,
,,,,,,Druecken und auslegen,Protect and lay out,,
,,,,,,Reifen 195/65 R15,Tire 195/65 R15,,
,,,,,,VR,Vr,,
,,,,,,WR statt SR verbaut,Wr Instead of SR installed,,
,,,,,,Ummontieren Winterraeder auf Alufelgen verbaut,Redemption Winterraeder built on alloy wheels,,
,,,,,,Unterkante,Lower edge,,
,,,,,,Winterradsatz <4mm verschlissen,Winter wheelset <4mm worn,,
,,,,,,"Eingelaufen, evt. unter Min., Kostenausweitung moeglich","Received, possibly under min., Cost expansion possible",,
,,,,,,Hundefahrzeug,Dog,,
,,,,,,Motoroel und Fahrzeug Check,Motoroel and vehicle check,,
,,,,,,"Geschwindigkeitsindex zu niedrig, V statt Y","Speed ​​Index Too Low, V instead of Y",,
,,,,,,Halteclip Heckscheibe/vorbehaltlich Folgekosten,Holding clip rear window / subject to follow-up costs,,
,,,,,,Kontrolllampe leuchtet. Kostenerweiterung moeglich,Control lamp lights. Cost extension possible,,
,,,,,,Sommerreifen Außenkante,Summer tires outer edge,,
,,,,,,Beifahrerairbag,Passenger airbag,,
,,,,,,7 Bauteile,7 components,,
,,,,,,Sehr viele,Many many,,
,,,,,,Fussmatte,Mat,,
,,,,,,Mehrere Bauteile,Multiple components,,
,,,,,,9 Bauteile beklebt,9 components covered,,
,,,,,,Traglast nicht zulaessig,Passplastic not permissible,,
,,,,,,abweichender Auslieferungszustand,Deviating delivery state,,
,,,,,,"Flanckeneinriss, abweichender Auslieferungszustand","Fletching, Different delivery state",,
,,,,,,"Fremdkoerpereintritt, abweichender Auslieferungszustand","Foreign coherent entry, deviating delivery status",,
,,,,,,Winterreifen statt Sommerreifen,Winter tires instead of summer tires,,
,,,,,,Ladekante links,Loading edge left,,
,,,,,,Verglasung,glazing,,
,,,,,,Spanngurte Kofferraum,Tension straps trunk,,
,,,,,,elektrisch,electrical,,
,,,,,,Kofferraum,Trunk,,
,,,,,,Amaturentafel Zierleiste,Type of tablet trim,,
,,,,,,Rueckseite,Back,,
,,,,,,Garantie/Kulanzantrag,Guarantee / goodwill request,,
,,,,,,"Entriegelung ohne Funktion, Folgekosten moeglich","Release without function, follow-up costs possible",,
,,,,,,Wasserabweiser links,Water deflectors left,,
,,,,,,10,10,,
,,,,,,OElig mit Tropfen Bildung,Oilig with drop education,,
,,,,,,Restlauf kleiner 1000km,Resignation less than 1000km,,
,,,,,,Klarlack blaettert ab,Clearcoat Blaetled,,
,,,,,,17x,17x,,
,,,,,,Ca 2 Dellen Mehrkosten moeglich,CA 2 dents additional costs possible,,
,,,,,,Ca 6 Dellen Mehrkosten moeglich,About 6 dents additional costs possible,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Laderaum,Cargo,,
,,,,,,Nur im Satz erhaeltlich,Only in the sentence,,
,,,,,,"Motorhaube, Dach, Heckklappe","Bonnet, roof, tailgate",,
,,,,,,inkl. Sensoren PDC,incl. Sensors PDC,,
,,,,,,Rechts hinten,Right behind,,
,,,,,,Hintne links,Link left,,
,,,,,,Mehrkosten koennen entstehen,Additional costs can arise,,
,,,,,,5.2019,5.2019,,
,,,,,,4 Bauteile,4 components,,
,,,,,,Kantenschaden,Edge damage,,
,,,,,,und Steinschlaege,and stone slides,,
,,,,,,Wassereintritt,Water entrance,,
,,,,,,"Welliger Untergrund, Lackstruktur","Wavy underground, paint structure",,
,,,,,,mit Delle,with delle,,
,,,,,,mit Verformung,deformation,,
,,,,,,Plus Verformung,Plus deformation,,
,,,,,,Fahrschulumbau,Driving school conversion,,
,,,,,,Haltegriff vorne rechts,Grab handle front right,,
,,,,,,Passt nicht zu Alter und Laufleistung,Does not fit at age and mileage,,
,,,,,,Keine Tueroeffnung von Innen moeglich,No tuero production possible from the inside,,
,,,,,,Faellig nach 1 Jahr,Faellig after 1 year,,
,,,,,,Delle an Kante,Delle on edge,,
,,,,,,Spuren von,traces of,,
,,,,,,unterhalb,below,,
,,,,,,"Dachhimmel , Sitze, Tierhaare und Laderaum","Roof sky, seats, animal hair and cargo space",,
,,,,,,"Anaetzungen, Zusatzkosten moeglich","Positions, additional costs possible",,
,,,,,,Aussenwand,Outer wall,,
,,,,,,>2mm im Sichtfeld,> 2mm in the field of view,,
,,,,,,Nabendeckel,Hub,,
,,,,,,im Kantenbereich,in the edge area,,
,,,,,,Kratzer polieren,Scratch,,
,,,,,,#NAME?,#NAME?,,
,,,,,,Einstieg vorn rechts,Entry in front right,,
